original_sentence,perturb_n1,perturb_n2,perturb_n3
"However , the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive .","However , the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and john cash flow accretive .","even so , the talk was downplayed by PBL which tell it would focus only on smaller purchases that were immediately earnings and cash flow accretive .","However , the talk was downplayed by PBL which said it would focus only on lowly purchases that were like a shot pay and cash flow accretive ."
Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .,Comcast Class A portion were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .,Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the national association of securities dealers automated quotations Stock securities industry .,Comcast form A parcel were up 8 cents at $ 30.50 in morning trading on the national association of securities dealers automated quotations Stock Market .
The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance .,The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s coming into court .,The washington dc Post said Airlite would shut down its initiatory shift and parts of the second shift Monday to accommodate the president ’ s appearance .,The Washington brand said Airlite would shut out down its first transformation and parts of the second transformation Monday to accommodate the president ’ s appearance .
Several of the questions asked by the audience in the fast-paced forum were new to the candidates .,Several of the questions asked by the audience in the fast-paced forum were unexampled to the candidates .,Several of the wonder asked by the audience in the fast-paced meeting place were new to the candidates .,several of the motion asked by the interview in the fast-paced forum were new to the candidates .
"Meanwhile , the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November .","meanwhile , the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November .","Meanwhile , the global death toll approached 770 with more than 8,300 people sickened since the knockout acute respiratory syndrome virus first appeared in southerly China in November .","Meanwhile , the worldwide death toll come near 770 with more than 8,300 mass sickened since the severe acute respiratory syndrome virus first appeared in southern China in November ."
"Contrary to what PeopleSoft management would have you believe , Oracle intends to fully support PeopleSoft customers and products for many years to come . ""","Contrary to what PeopleSoft management would have you trust , Oracle intends to fully support PeopleSoft customers and products for many years to come . ""","Contrary to what PeopleSoft direction would have you believe , Oracle intends to to the full support PeopleSoft customers and products for many years to come . ""","wayward to what PeopleSoft direction would have you believe , Oracle stand for to fully support PeopleSoft customers and products for many years to come . """
"The downtime , to take place in May and June , is expected to cut production by 60 million to 70 million board feet .","The downtime , to take place in May and June , is expected to cut production by threescore million to 70 million board feet .","The downtime , to take place in may and June , is expected to cut yield by 60 million to 70 million board feet .","The downtime , to occupy place in May and June , is have a bun in the oven to ignore production by 60 million to 70 million board feet ."
"On July 3 , Troy is expected to be sentenced to life in prison without parole .","On July trine , Troy is expected to be sentenced to life in prison without parole .","On july 3 , Troy is expected to be sentenced to life in prison house without parole .","On July ternion , troy weight is await to be sentenced to life in prison without parole ."
"The University of Michigan released a new undergraduate admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional in June .","The University of Michigan released a new undergrad admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional in June .","The University of Michigan released a new undergraduate admission process th , dropping a point system the U.S. sovereign Court found unconstitutional in June .","The University of Michigan released a modern undergraduate admission process Thursday , dropping a point system of rules the U.S. Supreme solicit found unconstitutional in June ."
The processors were announced in San Jose at the Intel Developer Forum .,The processors were announced in San Jose at the Intel developer Forum .,The processors were announced in San Jose at the Intel developer meeting place .,The processor were declare in San Jose at the Intel Developer meeting place .
It said the damage to the wing provided a pathway for hot gasses to penetrate the ship 's thermal armor during Columbia 's ill-fated reentry .,It said the damage to the wing provided a pathway for spicy gasses to penetrate the ship 's thermal armor during Columbia 's ill-fated reentry .,It say the damage to the wing provided a pathway for hot vaunt to penetrate the ship 's thermal armor during Columbia 's ill-fated reentry .,It said the damage to the wing offer a pathway for hot gasses to penetrate the transport 's thermal armor during Columbia 's unlucky reentry .
"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , "" Long Day 's Journey Into Night . ""","Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , "" Long clarence shepard day jr 's Journey Into Night . ""","Also demonstrating box-office strength _ and flummox seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , "" Long Day 's travel Into Night . ""","Also demonstrating box-office metier _ and getting seven Tony nominations _ was a potent revitalisation of Eugene O 'Neill 's family dramatic play , "" Long Day 's Journey Into Night . """
But Secretary of State Colin Powell brushed off this possibility Wednesday .,But Secretary of State Colin Powell brushed off this possible action Wednesday .,only Secretary of State Colin Powell brushed off this possibility wednesday .,only escritoire of State Colin colin powell brushed off this possibility Wednesday .
"Thomas and Tauzin say , as do many doctors , that the Bush administration has the power to correct some of those flaws .","Thomas and Tauzin say , as do many doctors , that the Bush administration has the power to correct some of those fault .","Thomas and Tauzin allege , as do many doctors , that the Bush administration has the business leader to correct some of those flaws .","Thomas and Tauzin say , as do many doctors , that the crotch hair administration has the top executive to chastise some of those flaws ."
"Based on experience elsewhere , it could take up to two years before regular elections are held , he added .","Based on experience elsewhere , it could take up to two years before unconstipated elections are held , he added .","Based on experience elsewhere , it could occupy up to two years before habitue elections are held , he added .","Based on experience elsewhere , it could take up to two years before regular election are obtain , he append ."
"The first biotechnology treatment for asthma , the constriction of the airways that affects millions around the world , received approval from the US Food and Drug Administration yesterday .","The first biotechnology treatment for asthma , the constriction of the airways that affects millions around the world , received approval from the US Food and Drug government yesterday .","The first biotechnology treatment for asthma , the constriction of the airways that affects millions around the existence , find approval from the US Food and Drug Administration yesterday .","The first biotechnology treatment for asthma , the constriction of the skyway that affects millions around the world , received approval from the US food and drug Administration yesterday ."
"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations , U.S. officials said on Thursday .","FBI agents nail a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations , U.S. officials said on Thursday .","FBI agents arrested a former partner of enceinte Four accounting firm Ernst & Young ERNY.UL on criminal charges of blockade federal investigations , U.S. officials said on Thursday .","fbi agents arrested a former partner of Big Four describe firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations , U.S. officials said on thursday ."
"The latest shooting linked to the spree was a November 11 shooting at Hamilton Central Elementary School in Obetz , about 3km from the freeway .","The modish shooting linked to the spree was a November 11 shooting at Hamilton Central Elementary School in Obetz , about 3km from the freeway .","The latest shooting linked to the fling was a november 11 shooting at Hamilton Central Elementary School in Obetz , about 3km from the freeway .","The latest shooting tie in to the spree was a November 11 shooting at amy lyon Central Elementary schooling in Obetz , about 3km from the freeway ."
PDC will also almost certainly fan the flames of speculation about Longhorn 's release .,PDC will also almost certainly fan the flames of speculation about longhorn 's release .,PDC will also almost for certain fan the flame of speculation about Longhorn 's release .,PDC will too almost sure fan the flames of speculation about longhorn 's release .
Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted .,Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of come as many industry experts had predicted .,Sales - a picture watched closely as a barometer of its health - rose 5 per centum instead of falling as many industry experts had predicted .,Sales - a figure watched tight as a barometer of its health - rose 5 pct instead of falling as many diligence experts had predicted .
"NEC is pitching its wireless gear and management software to a variety of industries , including health care and hospitality .","NEC is pitching its wireless gear and management software to a variety of industriousness , including health care and hospitality .","NEC is pitching its wireless gear and management software to a variety of industry , including health care and cordial reception .","NEC is pitching its wireless gear and management software to a salmagundi of industries , including wellness care and cordial reception ."
"Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , died early Sunday morning .","Elena Slough , considered to be the nation 's oldest person and the rd oldest person in the world , died early Sunday morning .","Elena Slough , considered to be the nation 's previous mortal and the third previous mortal in the world , died early Sunday morning .","Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , pall early billy sunday sunrise ."
""" We are declaring war on sexual harassment and sexual assault .",""" We are declaring state of war on sexual harassment and sexual assault .",""" We are hold war on intimate harassment and intimate assault .",""" We are adjudge war on intimate torment and intimate assault ."
"El Watan , an Algerian newspaper , reported that the kidnappers fiercely resisted the army assault this morning , firing Kalashnikov rifles .","El Watan , an Algerian newspaper publisher , reported that the kidnappers fiercely resisted the army assault this morning , firing Kalashnikov rifles .","El Watan , an Algerian newspaper , report that the kidnappers fiercely resisted the army assault this break of the day , firing Kalashnikov rifles .","El Watan , an algerian newsprint , reported that the kidnappers fiercely resisted the army assault this morning , firing kalashnikov rifles ."
Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite trading .,Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite swap .,Shares of Hartford rose $ 2.88 to $ 46.50 in New house of york Stock substitution composite trading .,Shares of Hartford rose $ 2.88 to $ 46.50 in unexampled house of york Stock Exchange composite plant trading .
"Tokyo Electric Power Co . , Asia 's largest power company , won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection reports .","capital of japan Electric Power Co . , Asia 's largest power company , won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection reports .","yeddo Electric Power Co . , Asia 's largest power company , won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection written report .","Tokyo Electric Power Co . , asia 's largest power company , won approval to re start the first of 17 nuclear reactors it shut down after it take on falsifying inspection reports ."
"Tuition at four-year private colleges averaged $ 19,710 this year , up 6 percent from 2002 .","Tuition at four-year buck private colleges averaged $ 19,710 this year , up 6 percent from 2002 .","tutorship at four-year private colleges average $ 19,710 this year , up 6 percent from 2002 .","Tuition at four-year secret college averaged $ 19,710 this yr , up 6 percent from 2002 ."
"He said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the attack could easily widen conflict through the region .","He said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the attack could easily widen conflict through the neighborhood .","helium said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the attack could easily broaden conflict through the region .","helium said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the aggress could easily widen conflict through the neighborhood ."
"A successful attack could be launched within any type of document that supports VBA , including Microsoft Word , Excel or PowerPoint .","A successful onset could be launched within any type of document that supports VBA , including Microsoft Word , Excel or PowerPoint .","A successful attack could be launched within any eccentric of document that supports VBA , including Microsoft Word , stand out or PowerPoint .","A successful blast could be launched within any type of document that supports VBA , including Microsoft give voice , stand out or PowerPoint ."
"Officials at Brandeis said this was an "" extremely heartrending "" time for the campus .","Officials at Brandeis said this was an "" extremely heartrending "" metre for the campus .","Officials at Brandeis say this was an "" super heartrending "" time for the campus .","functionary at Brandeis said this was an "" exceedingly grievous "" time for the campus ."
Fewer than a dozen FBI agents were dispatched to secure and analyze evidence .,Fewer than a dozen FBI federal agent were dispatched to secure and analyze evidence .,few than a dozen FBI agents were dispatch to secure and analyze evidence .,Fewer than a dozen FBI federal agent were dispatched to secure and study attest .
Those who only had surgery lived an average of 46 months .,Those who only had surgery lived an average of 46 month .,Those who only had surgery live on an mediocre of 46 months .,Those who only had operating theatre hold out an average of  months .
Tonight a spokesman for Russia 's foreign ministry said the ministry may issue a statement on Thursday clarifying Russia 's position on cooperation with Iran 's nuclear-energy efforts .,Tonight a spokesman for Russia 's foreign ministry said the ministry may issue a statement on th clarifying Russia 's position on cooperation with Iran 's nuclear-energy efforts .,Tonight a spokesman for Russia 's foreign ministry said the ministry may issue a statement on thursday clarifying Russia 's stance on cooperation with Iran 's nuclear-energy efforts .,Tonight a spokesman for Russia 's foreign ministry tell the ministry may issue a statement on Thursday elucidative Russia 's position on cooperation with islamic republic of iran 's nuclear-energy efforts .
"A day earlier , a committee appointed by reformist President Mohammad Khatami called for an independent judicial inquiry into Kazemi 's death .","A day earlier , a committee appointed by reformer President Mohammad Khatami called for an independent judicial inquiry into Kazemi 's death .","A day earlier , a committee prescribed by reformist President Mohammad Khatami anticipate for an independent judicial inquiry into Kazemi 's death .","A day earlier , a committee appointed by reformist united states president mahomet Khatami called for an independent discriminative inquiry into Kazemi 's death ."
"The suite comes complete with a word processor , spreadsheet , presentation software and other components , while continuing its tradition of utilizing an XML-based file format .","The suite add up complete with a word processor , spreadsheet , presentation software and other components , while continuing its tradition of utilizing an XML-based file format .","The suite comes complete with a word processor , spreadsheet , presentation software and other components , while continuing its custom of use an XML-based file format .","The suite comes complete with a word central processor , spreadsheet , presentation software and other components , while continuing its custom of utilize an XML-based file format ."
"Downstream at Mount Vernon , the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight , Burke said .","Downstream at Mount Vernon , the skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight , Burke said .","Downstream at Mount Vernon , the skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight , calamity jane said .","downstream at Mount Vernon , the Skagit River was expected to crest at 36 feet -- 8 feet above flood represent -- tonight , Burke order ."
Physicians who violate the ban would be subject to fines and up to two years in prison .,Physicians who violate the ban would be subject to fines and up to deuce years in prison .,Physicians who violate the proscription would be study to fines and up to two years in prison .,Physicians who violate the forbidding would be subject to fines and up to two geezerhood in prison house .
"For example , Anhalt said , children typically treat a 20-ounce soda bottle as one serving , although it actually contains 2 ½ 8-ounce servings .","For example , Anhalt said , children typically treat a 20-ounce soda bottle as one serving , although it actually contains 2 ½ 8-ounce process .","For good example , Anhalt said , children typically treat a 20-ounce soda bottle as one serving , although it actually contains ii ½ 8-ounce servings .","For example , Anhalt order , shaver typically treat a 20-ounce soda bottle as unrivalled serving , although it actually contains 2 ½ 8-ounce servings ."
"Kline 's opinion dealt specifically with abortion providers , but it also would apply to doctors providing other services , such as prenatal care , to a pregnant child under 16 .","Kline 's opinion dealt specifically with abortion providers , but it also would apply to furbish up providing other services , such as prenatal care , to a pregnant child under 16 .","Kline 's opinion dealt specifically with miscarriage providers , but it also would apply to doctors providing other table service , such as prenatal care , to a pregnant child under 16 .","franz kline 's opinion dealt specifically with abortion providers , but it likewise would apply to repair providing other services , such as prenatal care , to a pregnant child under 16 ."
"The United Nations ' International Atomic Energy Agency asked for information on the allegation after the dossier was published , but Britain did not provide any , U.N. officials said .","The United Nations ' International Atomic Energy Agency asked for information on the allegation after the dossier was published , but Britain did not provide any , U.N. officials say .","The United Nations ' International atomic Energy Agency asked for information on the allegation after the dossier was promulgated , but Britain did not provide any , U.N. officials said .","The United body politic ' International Atomic muscularity Agency asked for information on the allegement after the dossier was published , but Britain did not provide any , U.N. officials said ."
"Sixteen days later , as superheated air from the shuttle 's reentry rushed into the damaged wing , "" there was no possibility for crew survival , "" the board said .","Sixteen days later , as superheated air from the shuttle 's reentry belt along into the damaged wing , "" there was no possibility for crew survival , "" the board said .","Sixteen days later , as superheated air from the birdie 's reentry rushed into the damaged wing , "" there was no possibility for crew selection , "" the board said .","Sixteen days later , as superheated air from the bird 's reentry rushed into the damaged wing , "" there was no theory for crew survival , "" the board pronounce ."
""" The free world and those who love freedom and peace must deal harshly with Hamas and the killers , "" he told reporters as he emerged from a church service .",""" The free world and those who love freedom and peace must deal harshly with Hamas and the killers , "" he told reporters as he emerge from a church service .",""" The free macrocosm and those who love freedom and peace must mountain harshly with Hamas and the killers , "" he told reporters as he emerged from a church service .",""" The free world and those who erotic love freedom and peace must deal harshly with Hamas and the killers , "" he told newsperson as he emerged from a church serve ."
"Powell fired back : "" He 's accusing the president of a ludicrous act , "" he said .","Powell fired back : "" atomic number  's accusing the president of a ludicrous act , "" he said .","Powell force out back : "" he 's accusing the president of a ludicrous act , "" he said .","Powell pink slipped back : "" He 's charge the president of a cockeyed act , "" he said ."
"The memo on protecting sales of Windows and other desktop software mentioned Linux , a still small but emerging software competitor that is not owned by any specific company .","The memo on protecting sales of Windows and other background software mentioned Linux , a still small but emerging software competitor that is not owned by any specific company .","The memorandum on protecting gross sales of Windows and other desktop software mentioned Linux , a still small but emerging software competitor that is not owned by any specific company .","The memo on protecting sale of Windows and other desktop software mentioned Linux , a still small but emerge software competitor that is not owned by any particular company ."
"Also Tuesday , the United States also released more Iraqi prisoners of war , and officials announced that all would soon be let go .","Also tues , the United States also released more Iraqi prisoners of war , and officials announced that all would soon be let go .","Also Tuesday , the United States also relinquish more iraki prisoners of war , and officials announced that all would soon be let go .","Also Tuesday , the United say also released more iraki prisoners of state of war , and officials announced that all would soon be let go ."
""" We had nothing to do with @ Stake 's internal personnel decision , "" Microsoft spokesman Sean Sundwell said .",""" We had nothing to do with @ Stake 's internal personnel decision , "" Microsoft spokesman Sean Sundwell articulate .",""" We had nix to do with @ Stake 's internal personnel decision , "" Microsoft spokesman Sean Sundwell enjoin .",""" We had nothing to do with @ Stake 's internal force conclusion , "" Microsoft spokesman Sean Sundwell aforementioned ."
"Prosecutors said there is no question Waagner was behind the letters , which were sent at the same time of the anthrax attacks .","Prosecutors said there is no question Waagner was hindquarters the letters , which were sent at the same time of the anthrax attacks .","Prosecutors said there is no inquiry Waagner was behind the letters , which were sent at the same meter of the anthrax attacks .","public prosecutor said there is no dubiousness Waagner was behind the letters , which were sent at the same time of the anthrax flack ."
"His plan would cost more than $ 200 billion annually , which Gephardt would pay for by repealing Bush 's tax cuts .","His plan would cost more than $ 200 billion annually , which Gephardt would pay up for by repealing Bush 's tax cuts .","His plan would cost more than $ 200 billion each year , which Gephardt would devote for by repealing Bush 's tax cuts .","His plan would cost more than $  jillion annually , which Gephardt would pay for by reverse Bush 's tax cuts ."
There had been fears that the 35 year-old wouldn 't be able to conceive after suffering two ectopic pregnancies and cancer of the uterus .,There had been fears that the 35 year-old wouldn 't be able to conceive after support two ectopic pregnancies and cancer of the uterus .,in that location had been fears that the 35 year-old wouldn 't be able to conceive after suffering two ectopic pregnancies and genus cancer of the uterus .,There had been fears that the 35 year-old wouldn 't be able to consider after suffering deuce ectopic maternity and cancer of the uterus .
"Prosecutors said Paracha , if convicted , could face at least 17 years in prison .","Prosecutors enunciate Paracha , if convicted , could face at least 17 years in prison .","Prosecutors said Paracha , if convicted , could side at least xvii years in prison .","Prosecutors said Paracha , if convicted , could face at to the lowest degree seventeen old age in prison ."
"More than half of the songs were purchased as albums , Apple said .","More than half of the songs were purchased as albums , apple said .","More than half of the songs were purchased as album , malus pumila said .","More than one half of the call were purchase as albums , Apple said ."
""" This deal makes sense for both companies , "" Halla said in a prepared statement .",""" This stack makes sense for both companies , "" Halla said in a prepared statement .",""" This heap makes sense for both companies , "" Halla tell in a prepared statement .",""" This quite a little makes sense for both companies , "" Halla say in a prepared command ."
